table_size,fifo
10,0.30695312095377075
11,0.3128168771519779
12,0.31822113851851624
13,0.3236596290242312
14,0.3291522409960787
15,0.3347002289051281
16,0.34031900482451655
17,0.3459512215053617
18,0.35158576791819274
19,0.3571167308627302
20,0.3626227835960345
21,0.3681171876694096
22,0.3734648186276768
23,0.3787929156792934
24,0.38408732122219175
25,0.3893931962148665
26,0.39471215354869255
27,0.40001802854136737
28,0.405127130786315
29,0.41019788205857266
30,0.4150616456043961
31,0.4197691378970155
32,0.4242106823229435
33,0.4287074234759207
34,0.4330441299624859
35,0.43715610691749396
36,0.44122632790690963
37,0.4451008514095147
38,0.44890781268453045
39,0.4525368182778585
40,0.4561321323624683
41,0.4595679494111244
42,0.4629478528921203
43,0.46622327685405895
44,0.46935694558516683
45,0.4724174965739499
46,0.47534077258572116
47,0.47817981982569663
48,0.4808952120602698
49,0.48351168029052116
50,0.48611130276641334
51,0.4886112843973727
52,0.4911236315288723
53,0.4935392051778831
54,0.495957646189338
55,0.49827716319647114
56,0.5004400505300947
57,0.5026351956912145
58,0.5047651083567307
59,0.5068290716860324
60,0.5088279817298833
61,0.5108295799260256
62,0.5128508912389712
63,0.5147840311567603
64,0.5167361673507417
65,0.5186375870714929
66,0.5205105123779556
67,0.5223201765004952
68,0.52413862192052
69,0.525954558398406
70,0.5276688827196789
71,0.5293767554754526
72,0.5310543417154103
73,0.532770995768669
74,0.5344525246319874
75,0.5360442692087747
76,0.5376041143783711
77,0.5391938876434779
78,0.5407453099358948
79,0.5422856211988406
80,0.5437757536190146
81,0.545252266067579
82,0.5467425776979058
83,0.5482207030378451
84,0.5496921976021323
85,0.5511285669764792
86,0.5525735384381585
87,0.553941628744305
88,0.5552986080209805
89,0.5566251215716874
90,0.5579713482391975
91,0.5593156035950273
92,0.5606451637183311
93,0.5619245449988629
94,0.5632263275484893
95,0.56451538617727
96,0.5658151974152161
97,0.567064292179932
98,0.5683440318807693
99,0.569560868817989
100,0.5707893544151378
101,0.5719843277137211
102,0.5732033151727738
103,0.574427141305951
104,0.5755995341252869
105,0.576757769342555
106,0.5779115243060042
107,0.5790864260674787
108,0.5802036221597655
109,0.5813000298743325
110,0.5823792334142348
111,0.5834928453034665
112,0.5846523349918038
113,0.5857548358515645
114,0.5868385196452858
115,0.58790159427144
116,0.5890379658500717
117,0.5901315062021946
118,0.5911770182333785
119,0.5922388383884635
120,0.5933472531832651
121,0.5944151664835438
122,0.5954497466954096
123,0.596486119008803
124,0.597519086329294
125,0.5985158531989281
126,0.5994984624664944
127,0.6005267703230137
128,0.6015360819033408
129,0.6025263972074757
130,0.6035498663898706
131,0.6045400024838528
132,0.6055283464763073
133,0.6065019952362357
134,0.6074516298356948
135,0.608394454449349
136,0.6093897876377611
137,0.6103333290920264
138,0.6112573366396412
139,0.6121883333832135
140,0.6131320540476316
141,0.6140621547404401
142,0.6149884920200407
143,0.6159080193138365
144,0.6168608796960452
145,0.6177522709958583
146,0.6186777122246951
147,0.6196183863165163
148,0.6205307452042019
149,0.621404394698892
150,0.6223318072394092
151,0.6232486463809137
152,0.6241484605579063
153,0.6250645828587997
154,0.6259665475576255
155,0.6268640320026322
156,0.6278013011015511
157,0.6287328354755817
158,0.6296383843774624
159,0.6305546858885087
160,0.631408980686701
161,0.632296787783459
162,0.6332261716356564
163,0.6340824377455291
164,0.6349476643630396
165,0.6358406685542275
166,0.6367186190925838
167,0.6376200461609511
168,0.6384514020595906
169,0.6392927937267845
170,0.6401200277919105
171,0.6409515629007027
172,0.641805140858284
173,0.6426187549518005
174,0.6434739458007567
175,0.6442970580323693
176,0.6450993818862621
177,0.6459599490398009
178,0.6468025951780642
179,0.6476124458583727
180,0.6483975655376009
181,0.649200427021952
182,0.6500366215947159
183,0.6508563288334261
184,0.6516783658041222
185,0.652451299192963
186,0.6532808629900748
187,0.654067416350525
188,0.654906478285733
189,0.6557901635489775
190,0.6566080786861602
191,0.6574204383086074
192,0.6582319018802908
193,0.6590897808815384
194,0.6598783055536689
195,0.6606487300003709
196,0.6615213042341446
197,0.662348179878965
198,0.6631384966526231
199,0.6639528275867507
200,0.6647789863909602
201,0.6656834600319245
202,0.6665418766636303
203,0.6673674978373815
204,0.6682015418883123
205,0.6690454424976447
206,0.6698775152368952
207,0.6707176524330197
208,0.6715997248048894
209,0.6724679979949968
210,0.673318708590134
211,0.6741147600886803
212,0.6749737143508444
213,0.6757609845519056
214,0.6766013009581829
215,0.6773964564059655
216,0.6782029020933718
217,0.6789539718435761
218,0.6797023534414891
219,0.6804734947288021
220,0.6813387213463127
221,0.6821324431128731
222,0.6828537639777199
223,0.683632969721907
224,0.6844480174966456
225,0.6852032090803634
226,0.6860087587170058
227,0.6867390400894904
228,0.6875085684854287
229,0.6882485272061621
230,0.6889707441217726
231,0.6897508459167235
232,0.6904963601521924
233,0.6911723408483916
234,0.6919072816848478
235,0.6926712545660507
236,0.6934492058391686
237,0.6941662256603491
238,0.6948950733516116
239,0.6956757127770208
240,0.6964405817089875
241,0.6971518668052797
242,0.697875696612265
243,0.6985298136698279
244,0.6992115290909153
245,0.6999470075578298
246,0.7006332032327361
247,0.7013692193301089
248,0.7021184969787856
249,0.7028453733583678
250,0.7035591673967987
251,0.7043111331977668
252,0.7050666832017901
253,0.7057611225437233
254,0.706503052576137
255,0.70724623707962
256,0.7080490985639711
257,0.7087878028136353
258,0.7095342130998679
259,0.7102379713697444
260,0.7109567832924525
261,0.711600864581461
262,0.7123786366444261
263,0.7131709247297645
264,0.7138433212229086
265,0.7145630291963805
266,0.7152042431229448
267,0.7158897219572401
268,0.7165750215813826
269,0.7173081703163113
270,0.71795942001143
271,0.7186531425127521
272,0.7193855744070697
273,0.7200633472047965
274,0.7207131632186932
275,0.7214319751414013
276,0.7221154826640163
277,0.722773363134787
278,0.7235109921235345
279,0.7242009512116488
280,0.7249312325841334
281,0.7255742386122253
282,0.7262392874891063
283,0.7269079205690424
284,0.7275948330845597
285,0.7283582683353044
286,0.7290878328671778
287,0.729828687638675
288,0.7305019801825828
289,0.7311974947854326
290,0.7319159482878351
291,0.7326306383770298
292,0.7333566187058482
293,0.7339521340434595
294,0.734667720183418
295,0.7354680727256305
296,0.7362148414321686
297,0.7369648359214565
298,0.737642787929336
299,0.7383159012630911
300,0.7389970790537203
301,0.7397436685501056
302,0.7404291473844009
