table_size,lru
10,0.3101500508688019
11,0.31676075498369993
12,0.32280551343619157
13,0.3287391615939739
14,0.3348475396506943
15,0.3411406833749071
16,0.3476273740640974
17,0.3541497275736863
18,0.3608186749882304
19,0.3674401317122939
20,0.37403829111649894
21,0.3805674546118926
22,0.3869742175729533
23,0.39326449393472196
24,0.39934455678730674
25,0.40530598251876643
26,0.41108550994517784
27,0.41684532425478593
28,0.4224110539689583
29,0.4279950631187118
30,0.433451833060008
31,0.43877240328520883
32,0.44389673839314087
33,0.4489355902582078
34,0.45384397713206764
35,0.45851957001749627
36,0.4631385324946537
37,0.4675893958485251
38,0.4719393638863944
39,0.4761714116437496
40,0.48024754656820623
