"table_size","fifo","lru","second.chance"
10,0.306953120953771,0.310150050868802,0.312723687872544
11,0.312816877151978,0.3167607549837,0.320485817218906
12,0.318221138518516,0.322805513436192,0.327649743075364
13,0.323659629024231,0.328739161593974,0.334573527327129
14,0.329152240996079,0.334847539650694,0.341477060831632
15,0.334700228905128,0.341140683374907,0.348495468044052
16,0.340319004824517,0.347627374064097,0.355392908403361
17,0.345951221505362,0.354149727573686,0.362272965377853
18,0.351585767918193,0.36081867498823,0.369175423621439
19,0.35711673086273,0.367440131712294,0.375918564039225
20,0.362622783596035,0.374038291116499,0.382526221581526
21,0.36811718766941,0.380567454611893,0.388992840733608
22,0.373464818627677,0.386974217572953,0.395182938619985
23,0.378792915679293,0.393264493934722,0.401301531655413
24,0.384087321222192,0.399344556787307,0.40722836982739
25,0.389393196214867,0.405305982518766,0.413034241146257
26,0.394712153548693,0.411085509945178,0.418619683977232
27,0.400018028541367,0.416845324254786,0.424077708389598
28,0.405127130786315,0.422411053968958,0.429454371392612
29,0.410197882058573,0.427995063118712,0.43482547888089
30,0.415061645604396,0.433451833060008,0.439995691787928
31,0.419769137897015,0.438772403285209,0.445021461311843
32,0.424210682322944,0.443896738393141,0.450072141046992
33,0.428707423475921,0.448935590258208,0.454953646397939
34,0.433044129962486,0.453843977132068,0.459632823486422
35,0.437156106917494,0.458519570017496,0.464343183141486
36,0.44122632790691,0.463138532494654,0.468812863561397
37,0.445100851409515,0.467589395848525,0.473149390837809
38,0.44890781268453,0.471939363886394,0.477262263843581
39,0.452536818277859,0.47617141164375,0.481271732591212
40,0.456132132362468,0.480247546568206,0.485173316826884
41,0.459567949411124,0.484176549957249,0.489007338834966
42,0.46294785289212,0.487921683729564,0.492585627955063
43,0.466223276854059,0.491545313018309,0.496078792252602
44,0.469356945585167,0.495094032463202,0.499509770627133
45,0.47241749657395,0.498439348384716,0.502720858144232
46,0.475340772585721,0.501697747382143,0.505819760105705
47,0.478179819825697,0.504878548383426,0.50894410990887
48,0.48089521206027,0.50788909973959,0.511883335624236
49,0.483511680290521,0.510813988642736,0.51470732921138
50,0.486111302766413,0.513629021722242,0.517428814591147
51,0.488611284397373,0.516308392716111,0.520085246685463
52,0.491123631528872,0.518887406024436,0.522584332265659
53,0.493539205177883,0.521404054199602,0.525019619031473
54,0.495957646189338,0.523857978821303,0.527385909888476
55,0.498277163196471,0.52624469963572,0.529689297981861
56,0.500440050530095,0.528609377601347,0.531935518036516
57,0.502635195691215,0.530849146090504,0.534114534283888
58,0.504765108356731,0.533008628431225,0.536214698064047
59,0.506829071686032,0.535114706146424,0.538295148727402
60,0.508827981729883,0.537205371788487,0.540383843057784
61,0.510829579926026,0.53926879748733,0.542402645428591
62,0.512850891238971,0.541293334583025,0.544380946304875
63,0.51478403115676,0.543198159296679,0.546258889495615
64,0.516736167350742,0.545104417691555,0.54812805138887
65,0.518637587071493,0.546994367962529,0.550002410376555
66,0.520510512377956,0.548804032085069,0.551749888576088
67,0.522320176500495,0.550542370566811,0.553517796733035
68,0.52413862192052,0.552264580134806,0.555182121421688
69,0.525954558398406,0.553980158927148,0.556892323909448
70,0.527668882719679,0.555632834955872,0.558572598301697
71,0.529376755475453,0.557326908529884,0.5601491100155
72,0.53105434171541,0.558964530905776,0.56180537024728
73,0.532770995768669,0.560616131673584,0.563403745599719
74,0.534452524631987,0.562195152329526,0.564933125043346
75,0.536044269208775,0.563751054875762,0.566509995177455
76,0.537604114378371,0.565297459283901,0.56807629191255
77,0.539193887643478,0.566803899827976,0.569581657195709
78,0.540745309935895,0.568282204378068,0.570970715089728
79,0.542285621198841,0.569792766755656,0.572506725309008
80,0.543775753619015,0.571287200219497,0.573957610705728
81,0.545252266067579,0.572746687703549,0.575343442816997
82,0.546742577697906,0.57418915022309,0.576709382601311
83,0.548220703037845,0.575605448060328,0.578067078718597
84,0.549692197602132,0.577002570411221,0.579427283778022
85,0.551128566976479,0.578372452818895,0.580800391968446
86,0.552573538438158,0.579754700727109,0.582137299708013
87,0.553941628744305,0.581105945278897,0.583505390014159
88,0.555298608020981,0.582463641396183,0.584763982916971
89,0.556625121571687,0.583805567020027,0.585955013592194
90,0.557971348239197,0.585104123786904,0.587260559555028
91,0.559315603595027,0.58642669471425,0.588510371160355
92,0.560645163718331,0.587700162059741,0.589775953259125
93,0.561924544998863,0.588969865992024,0.590974689970916
94,0.563226327548489,0.590232580728349,0.592136509391239
95,0.56451538617727,0.591510528327659,0.593351912647237
96,0.565815197415216,0.592755859679167,0.594614985803868
97,0.567064292179932,0.593988108689524,0.595828238538032
98,0.568344031880769,0.595181648306885,0.597049197308765
99,0.569560868817989,0.596377517656232,0.598173920227468
100,0.570789354415138,0.597563888867483,0.599302764979684
101,0.571984327713721,0.598720511193377,0.600446842594884
102,0.573203315172774,0.599852940148648,0.601518340098218
103,0.574427141305951,0.600988594886668,0.60264109170524
104,0.575599534125287,0.602113497015524,0.603752553072639
105,0.576757769342555,0.603244850709878,0.604798065103823
106,0.577911524306004,0.604348247620403,0.605882824158461
107,0.579086426067479,0.605447164277108,0.606943389842476
108,0.580203622159766,0.606570274304436,0.60796811349594
109,0.581300029874332,0.607647148112353,0.608988177685433
110,0.582379233414235,0.608704488013619,0.610020069745007
111,0.583492845303466,0.609767921060078,0.61107723043612
112,0.584652334991804,0.610824544120733,0.612117007742416
113,0.585754835851565,0.611871310622986,0.613110369619148
114,0.586838519645286,0.612913596871421,0.614109645430921
115,0.58790159427144,0.613944951300537,0.615054978986714
116,0.589037965850072,0.614980427563167,0.616049774544667
117,0.590131506202195,0.615994577817618,0.617045286943232
118,0.591177018233379,0.617020018311693,0.618027896210798
119,0.592238838388463,0.618046892486991,0.618997243927061
120,0.593347253183265,0.619047064349527,0.619924477257425
121,0.594415166483544,0.620045264900383,0.620873932646731
122,0.59544974669541,0.621017659189243,0.621823925666496
123,0.596486119008803,0.621987902956269,0.622746499532889
124,0.597519086329294,0.62293897123695,0.623657603949505
125,0.598515853198928,0.623890577148089,0.624596306729646
126,0.599498462466494,0.624868347741531,0.625526049002149
127,0.600526770323014,0.625809201043505,0.626430522643113
128,0.601536081903341,0.626733387801272,0.627344494422174
129,0.602526397207476,0.627703810778451,0.628280867470329
130,0.603549866389871,0.628636958043857,0.629197348191528
131,0.604540002483853,0.62957386872247,0.630078524512633
132,0.605528346476307,0.630518485437652,0.630991421030777
133,0.606501995236236,0.631447331659391,0.631873851822953
134,0.607451629835695,0.632351805300355,0.632787823602013
135,0.608394454449349,0.633290687290649,0.633651795748454
136,0.609389787637761,0.634214874048416,0.634523294721311
137,0.610333329092026,0.635130279508699,0.63539103028096
138,0.611257336639641,0.636026509482636,0.636242278506556
139,0.612188333383214,0.636903743180382,0.637125784559648
140,0.613132054047632,0.637818431800053,0.637990831967005
141,0.61406215474044,0.638689393142452,0.638834374156032
142,0.614988492020041,0.639560712905156,0.63963508511855
143,0.615908019313837,0.640426297942972,0.640528985360502
144,0.616860879696045,0.641302277169648,0.641383459368847
145,0.617752270995858,0.642153166974938,0.64222933128986
146,0.618677712224695,0.64300746177313,0.643066242703235
147,0.619618386316516,0.643840430563145,0.64389473123943
148,0.620530745204202,0.644680746969422,0.644759061806177
149,0.621404394698892,0.645505651302562,0.645551170681362
150,0.622331807239409,0.646350627172811,0.646369444238851
151,0.623248646380914,0.647188613847103,0.647177861237937
152,0.624148460557906,0.648024629209714,0.647996672425884
153,0.6250645828588,0.648847383021021,0.648786630779236
154,0.625966547557625,0.649662251585607,0.649593076466642
155,0.626864032002632,0.650460812026292,0.650411350024131
156,0.627801301101551,0.651248440647658,0.651221021494287
157,0.628732835475582,0.652055961595981,0.652005961963362
158,0.629638384377462,0.65287620646515,0.652814378962449
159,0.630554685888509,0.653667777709877,0.653623154381841
