running 808 tests
test mutex_1t_081p ... bench:   5,544,200 ns/iter (+/- 1,760,651)
test mutex_1t_082p ... bench:   5,551,330 ns/iter (+/- 1,346,585)
test mutex_1t_083p ... bench:   5,569,209 ns/iter (+/- 1,764,057)
test mutex_1t_084p ... bench:   5,661,943 ns/iter (+/- 1,630,574)
test mutex_1t_085p ... bench:   5,700,121 ns/iter (+/- 1,685,263)
test mutex_1t_086p ... bench:   5,578,977 ns/iter (+/- 1,978,327)
test mutex_1t_087p ... bench:   5,601,236 ns/iter (+/- 2,040,350)
test mutex_1t_088p ... bench:   5,703,683 ns/iter (+/- 1,652,884)
test mutex_1t_089p ... bench:   5,401,721 ns/iter (+/- 1,284,380)
test mutex_1t_090p ... bench:   5,530,716 ns/iter (+/- 2,118,910)
test mutex_1t_091p ... bench:   5,370,059 ns/iter (+/- 1,582,885)
test mutex_1t_092p ... bench:   5,519,526 ns/iter (+/- 1,353,286)
test mutex_1t_093p ... bench:   5,654,446 ns/iter (+/- 1,425,933)
test mutex_1t_094p ... bench:   5,425,851 ns/iter (+/- 1,548,617)
test mutex_1t_095p ... bench:   5,610,463 ns/iter (+/- 1,690,874)
test mutex_1t_096p ... bench:   5,552,719 ns/iter (+/- 1,428,151)
test mutex_1t_097p ... bench:   5,383,190 ns/iter (+/- 1,429,788)
test mutex_1t_098p ... bench:   5,589,713 ns/iter (+/- 1,504,535)
test mutex_1t_099p ... bench:   5,604,674 ns/iter (+/- 1,757,841)
test mutex_1t_100p ... bench:   5,512,350 ns/iter (+/- 1,508,014)
test mutex_2t_000p ... bench:   3,303,059 ns/iter (+/- 1,009,030)
test mutex_2t_001p ... bench:   3,329,709 ns/iter (+/- 800,299)
test mutex_2t_002p ... bench:   3,367,639 ns/iter (+/- 954,567)
test mutex_2t_003p ... bench:   3,415,041 ns/iter (+/- 963,501)
test mutex_2t_004p ... bench:   3,304,336 ns/iter (+/- 788,384)
test mutex_2t_005p ... bench:   3,359,636 ns/iter (+/- 746,764)
test mutex_2t_006p ... bench:   3,260,992 ns/iter (+/- 780,031)
test mutex_2t_007p ... bench:   3,400,580 ns/iter (+/- 799,828)
test mutex_2t_008p ... bench:   3,313,540 ns/iter (+/- 759,096)
test mutex_2t_009p ... bench:   3,275,233 ns/iter (+/- 764,614)
test mutex_2t_010p ... bench:   3,316,631 ns/iter (+/- 814,949)
test mutex_2t_011p ... bench:   3,314,977 ns/iter (+/- 887,788)
test mutex_2t_012p ... bench:   3,349,602 ns/iter (+/- 1,051,377)
test mutex_2t_013p ... bench:   3,369,004 ns/iter (+/- 695,035)
test mutex_2t_014p ... bench:   3,290,753 ns/iter (+/- 764,652)
test mutex_2t_015p ... bench:   3,385,464 ns/iter (+/- 829,072)
test mutex_2t_016p ... bench:   3,356,237 ns/iter (+/- 963,650)
test mutex_2t_017p ... bench:   3,352,611 ns/iter (+/- 984,574)
test mutex_2t_018p ... bench:   3,376,815 ns/iter (+/- 1,121,222)
test mutex_2t_019p ... bench:   3,350,858 ns/iter (+/- 1,193,093)
test mutex_2t_020p ... bench:   3,430,377 ns/iter (+/- 947,010)
test mutex_2t_021p ... bench:   3,375,421 ns/iter (+/- 1,054,132)
test mutex_2t_022p ... bench:   3,366,101 ns/iter (+/- 782,270)
test mutex_2t_023p ... bench:   3,501,354 ns/iter (+/- 894,293)
test mutex_2t_024p ... bench:   3,431,118 ns/iter (+/- 988,805)
test mutex_2t_025p ... bench:   3,469,952 ns/iter (+/- 889,598)
test mutex_2t_026p ... bench:   3,347,264 ns/iter (+/- 1,006,603)
test mutex_2t_027p ... bench:   3,458,346 ns/iter (+/- 1,096,970)
test mutex_2t_028p ... bench:   3,442,777 ns/iter (+/- 1,232,238)
test mutex_2t_029p ... bench:   3,327,842 ns/iter (+/- 877,858)
test mutex_2t_030p ... bench:   3,394,156 ns/iter (+/- 888,329)
test mutex_2t_031p ... bench:   3,400,691 ns/iter (+/- 965,121)
test mutex_2t_032p ... bench:   3,420,918 ns/iter (+/- 1,006,819)
test mutex_2t_033p ... bench:   3,543,410 ns/iter (+/- 890,056)
test mutex_2t_034p ... bench:   3,500,001 ns/iter (+/- 1,000,901)
test mutex_2t_035p ... bench:   3,556,020 ns/iter (+/- 956,355)
test mutex_2t_036p ... bench:   3,726,328 ns/iter (+/- 896,649)
test mutex_2t_037p ... bench:   3,518,723 ns/iter (+/- 931,584)
test mutex_2t_038p ... bench:   3,664,541 ns/iter (+/- 1,056,876)
test mutex_2t_039p ... bench:   3,675,560 ns/iter (+/- 1,087,898)
test mutex_2t_040p ... bench:   3,650,708 ns/iter (+/- 1,003,323)
test mutex_2t_041p ... bench:   3,683,377 ns/iter (+/- 1,096,695)
test mutex_2t_042p ... bench:   3,779,949 ns/iter (+/- 1,264,710)
test mutex_2t_043p ... bench:   3,635,895 ns/iter (+/- 976,672)
test mutex_2t_044p ... bench:   3,745,066 ns/iter (+/- 920,048)
test mutex_2t_045p ... bench:   3,805,250 ns/iter (+/- 1,183,344)
test mutex_2t_046p ... bench:   4,023,223 ns/iter (+/- 834,208)
test mutex_2t_047p ... bench:   3,878,201 ns/iter (+/- 1,212,458)
test mutex_2t_048p ... bench:   3,819,535 ns/iter (+/- 1,061,452)
test mutex_2t_049p ... bench:   3,849,428 ns/iter (+/- 1,362,105)
test mutex_2t_050p ... bench:   3,908,573 ns/iter (+/- 1,130,090)
test mutex_2t_051p ... bench:   3,995,171 ns/iter (+/- 1,295,724)
test mutex_2t_052p ... bench:   4,156,634 ns/iter (+/- 987,964)
test mutex_2t_053p ... bench:   4,108,686 ns/iter (+/- 1,530,001)
test mutex_2t_054p ... bench:   4,250,863 ns/iter (+/- 1,094,703)
test mutex_2t_055p ... bench:   4,181,643 ns/iter (+/- 1,300,989)
test mutex_2t_056p ... bench:   4,139,341 ns/iter (+/- 1,381,211)
test mutex_2t_057p ... bench:   4,252,101 ns/iter (+/- 1,221,656)
test mutex_2t_058p ... bench:   4,429,636 ns/iter (+/- 1,230,325)
test mutex_2t_059p ... bench:   4,506,161 ns/iter (+/- 1,798,628)
test mutex_2t_060p ... bench:   4,301,592 ns/iter (+/- 1,357,372)
test mutex_2t_061p ... bench:   4,517,962 ns/iter (+/- 1,123,084)
test mutex_2t_062p ... bench:   4,669,158 ns/iter (+/- 1,424,508)
test mutex_2t_063p ... bench:   4,470,944 ns/iter (+/- 1,562,873)
test mutex_2t_064p ... bench:   4,855,814 ns/iter (+/- 1,173,168)
test mutex_2t_065p ... bench:   4,880,593 ns/iter (+/- 1,046,130)
test mutex_2t_066p ... bench:   4,886,380 ns/iter (+/- 1,018,319)
test mutex_2t_067p ... bench:   4,988,679 ns/iter (+/- 2,070,846)
test mutex_2t_068p ... bench:   5,088,629 ns/iter (+/- 1,559,254)
test mutex_2t_069p ... bench:   5,248,794 ns/iter (+/- 1,612,110)
test mutex_2t_070p ... bench:   5,032,391 ns/iter (+/- 1,705,988)
test mutex_2t_071p ... bench:   5,007,792 ns/iter (+/- 2,077,572)
test mutex_2t_072p ... bench:   5,232,580 ns/iter (+/- 1,456,671)
test mutex_2t_073p ... bench:   5,343,941 ns/iter (+/- 1,602,173)
test mutex_2t_074p ... bench:   5,427,599 ns/iter (+/- 1,685,589)
test mutex_2t_075p ... bench:   5,425,462 ns/iter (+/- 1,471,219)
test mutex_2t_076p ... bench:   5,824,434 ns/iter (+/- 1,500,231)
test mutex_2t_077p ... bench:   5,813,438 ns/iter (+/- 1,460,245)
test mutex_2t_078p ... bench:   6,054,314 ns/iter (+/- 1,350,949)
test mutex_2t_079p ... bench:   5,831,919 ns/iter (+/- 1,666,747)
test mutex_2t_080p ... bench:   6,010,140 ns/iter (+/- 1,328,627)
test mutex_2t_081p ... bench:   6,219,089 ns/iter (+/- 1,392,231)
test mutex_2t_082p ... bench:   6,109,056 ns/iter (+/- 1,238,188)
test mutex_2t_083p ... bench:   6,285,822 ns/iter (+/- 1,397,507)
test mutex_2t_084p ... bench:   6,106,663 ns/iter (+/- 1,671,132)
test mutex_2t_085p ... bench:   6,397,766 ns/iter (+/- 1,474,702)
test mutex_2t_086p ... bench:   6,481,588 ns/iter (+/- 1,423,411)
test mutex_2t_087p ... bench:   6,714,587 ns/iter (+/- 1,571,703)
test mutex_2t_088p ... bench:   6,738,672 ns/iter (+/- 1,254,056)
test mutex_2t_089p ... bench:   6,622,464 ns/iter (+/- 1,833,531)
test mutex_2t_090p ... bench:   7,059,815 ns/iter (+/- 1,884,678)
test mutex_2t_091p ... bench:   6,893,765 ns/iter (+/- 2,006,873)
test mutex_2t_092p ... bench:   7,175,904 ns/iter (+/- 1,212,089)
test mutex_2t_093p ... bench:   7,173,637 ns/iter (+/- 1,611,294)
test mutex_2t_094p ... bench:   7,293,094 ns/iter (+/- 1,309,330)
test mutex_2t_095p ... bench:   7,056,139 ns/iter (+/- 2,041,519)
test mutex_2t_096p ... bench:   7,197,026 ns/iter (+/- 1,988,402)
test mutex_2t_097p ... bench:   7,208,737 ns/iter (+/- 1,831,654)
test mutex_2t_098p ... bench:   7,041,254 ns/iter (+/- 2,223,243)
test mutex_2t_099p ... bench:   7,148,008 ns/iter (+/- 2,399,360)
test mutex_2t_100p ... bench:   7,397,724 ns/iter (+/- 2,080,681)
test mutex_3t_000p ... bench:   2,568,361 ns/iter (+/- 533,558)
