running 808 tests
test mutex_1t_082p ... bench:   3,594,095 ns/iter (+/- 1,478,909)
test mutex_1t_083p ... bench:   3,578,055 ns/iter (+/- 1,523,477)
test mutex_1t_084p ... bench:   3,685,705 ns/iter (+/- 1,478,585)
test mutex_1t_085p ... bench:   3,653,791 ns/iter (+/- 1,991,924)
test mutex_1t_086p ... bench:   3,629,615 ns/iter (+/- 2,117,390)
test mutex_1t_087p ... bench:   3,610,084 ns/iter (+/- 1,372,388)
test mutex_1t_088p ... bench:   3,537,223 ns/iter (+/- 1,557,771)
test mutex_1t_089p ... bench:   3,558,293 ns/iter (+/- 1,381,331)
test mutex_1t_090p ... bench:   3,598,081 ns/iter (+/- 665,306)
test mutex_1t_091p ... bench:   3,693,068 ns/iter (+/- 2,203,502)
test mutex_1t_092p ... bench:   3,795,452 ns/iter (+/- 2,806,390)
test mutex_1t_093p ... bench:   3,618,963 ns/iter (+/- 1,327,983)
test mutex_1t_094p ... bench:   3,659,094 ns/iter (+/- 1,852,532)
test mutex_1t_095p ... bench:   3,652,951 ns/iter (+/- 2,799,853)
test mutex_1t_096p ... bench:   3,669,219 ns/iter (+/- 1,912,598)
test mutex_1t_097p ... bench:   3,689,854 ns/iter (+/- 2,406,760)
test mutex_1t_098p ... bench:   3,642,685 ns/iter (+/- 1,425,812)
test mutex_1t_099p ... bench:   3,721,222 ns/iter (+/- 1,720,420)
test mutex_1t_100p ... bench:   3,250,679 ns/iter (+/- 1,812,350)
test mutex_2t_000p ... bench:   1,904,713 ns/iter (+/- 136,938)
test mutex_2t_001p ... bench:   1,900,308 ns/iter (+/- 139,067)
test mutex_2t_002p ... bench:   1,896,222 ns/iter (+/- 141,205)
test mutex_2t_003p ... bench:   1,902,279 ns/iter (+/- 250,508)
test mutex_2t_004p ... bench:   1,907,725 ns/iter (+/- 145,355)
test mutex_2t_005p ... bench:   1,915,620 ns/iter (+/- 217,327)
test mutex_2t_006p ... bench:   1,898,381 ns/iter (+/- 101,152)
test mutex_2t_007p ... bench:   1,906,269 ns/iter (+/- 195,864)
test mutex_2t_008p ... bench:   1,905,535 ns/iter (+/- 128,645)
test mutex_2t_009p ... bench:   1,906,405 ns/iter (+/- 203,476)
test mutex_2t_010p ... bench:   1,912,872 ns/iter (+/- 139,852)
test mutex_2t_011p ... bench:   1,919,867 ns/iter (+/- 245,490)
test mutex_2t_012p ... bench:   1,910,063 ns/iter (+/- 175,527)
test mutex_2t_013p ... bench:   1,920,548 ns/iter (+/- 314,430)
test mutex_2t_014p ... bench:   1,930,942 ns/iter (+/- 213,452)
test mutex_2t_015p ... bench:   1,904,841 ns/iter (+/- 125,645)
test mutex_2t_016p ... bench:   1,931,108 ns/iter (+/- 147,753)
test mutex_2t_017p ... bench:   1,932,864 ns/iter (+/- 120,033)
test mutex_2t_018p ... bench:   1,932,266 ns/iter (+/- 142,958)
test mutex_2t_019p ... bench:   1,942,857 ns/iter (+/- 141,103)
test mutex_2t_020p ... bench:   1,936,284 ns/iter (+/- 283,433)
test mutex_2t_021p ... bench:   1,933,072 ns/iter (+/- 112,331)
test mutex_2t_022p ... bench:   1,954,125 ns/iter (+/- 239,304)
test mutex_2t_023p ... bench:   1,956,207 ns/iter (+/- 162,689)
test mutex_2t_024p ... bench:   1,957,468 ns/iter (+/- 176,956)
test mutex_2t_025p ... bench:   1,951,001 ns/iter (+/- 181,220)
test mutex_2t_026p ... bench:   1,981,778 ns/iter (+/- 223,184)
test mutex_2t_027p ... bench:   1,958,207 ns/iter (+/- 162,079)
test mutex_2t_028p ... bench:   1,985,396 ns/iter (+/- 207,711)
test mutex_2t_029p ... bench:   1,974,673 ns/iter (+/- 244,277)
test mutex_2t_030p ... bench:   1,976,345 ns/iter (+/- 228,361)
test mutex_2t_031p ... bench:   2,025,292 ns/iter (+/- 231,844)
test mutex_2t_032p ... bench:   2,003,036 ns/iter (+/- 256,811)
test mutex_2t_033p ... bench:   2,007,563 ns/iter (+/- 168,065)
test mutex_2t_034p ... bench:   2,016,691 ns/iter (+/- 253,063)
test mutex_2t_035p ... bench:   2,017,718 ns/iter (+/- 144,591)
test mutex_2t_036p ... bench:   2,033,560 ns/iter (+/- 245,565)
test mutex_2t_037p ... bench:   2,055,197 ns/iter (+/- 253,000)
test mutex_2t_038p ... bench:   2,100,686 ns/iter (+/- 291,640)
test mutex_2t_039p ... bench:   2,056,419 ns/iter (+/- 322,221)
test mutex_2t_040p ... bench:   2,076,646 ns/iter (+/- 229,242)
test mutex_2t_041p ... bench:   2,078,349 ns/iter (+/- 334,224)
test mutex_2t_042p ... bench:   2,084,829 ns/iter (+/- 265,901)
test mutex_2t_043p ... bench:   2,089,862 ns/iter (+/- 389,907)
test mutex_2t_044p ... bench:   2,109,674 ns/iter (+/- 282,037)
test mutex_2t_045p ... bench:   2,121,868 ns/iter (+/- 253,156)
test mutex_2t_046p ... bench:   2,176,212 ns/iter (+/- 280,839)
test mutex_2t_047p ... bench:   2,152,499 ns/iter (+/- 249,129)
test mutex_2t_048p ... bench:   2,186,132 ns/iter (+/- 335,138)
