thread_count,lock_percentage,time
4,45,2507486
4,46,2511795
4,47,2631394
4,48,2599497
4,49,2656700
4,50,2660109
4,51,2668471
4,52,2701146
4,53,2702181
4,54,2704422
4,55,2722956
4,56,2733229
4,57,2725286
4,58,2768000
4,59,2836343
4,60,2874284
4,61,2890876
4,62,2879341
4,63,3064625
4,64,2988112
4,65,3083857
4,66,3183934
4,67,3152583
4,68,3559879
4,69,3216735
4,70,3452936
4,71,3494807
4,72,3482967
4,73,3849710
4,74,3942547
4,75,4095760
4,76,4286973
4,77,4433350
4,78,4456829
4,79,4428563
4,80,4576479
4,81,4995763
4,82,5290099
4,83,5240002
4,84,5493707
4,85,5928156
4,86,5977542
4,87,5860756
4,88,6533991
4,89,6507697
4,90,6432418
4,91,7019480
4,92,6628859
4,93,7001856
4,94,7544027
4,95,7583807
4,96,7745323
4,97,7952342
4,98,8130299
4,99,7827257
4,100,8508296
5,0,1881824
5,1,1862445
5,2,1892487
5,3,1927442
5,4,1847268
5,5,1784851
5,6,1860789
5,7,1944014
5,8,1863475
5,9,1862270
5,10,1908581
5,11,1881970
5,12,1875394
5,13,1896972
5,14,1900859
5,15,1844439
5,16,1849804
5,17,1940921
5,18,1979331
5,19,1885789
5,20,1974581
5,21,1960209
5,22,2043145
5,23,2009122
5,24,1980277
5,25,2036129
5,26,2017298
5,27,2023053
5,28,2038062
5,29,1954081
5,30,2048681
5,31,2004496
5,32,1949857
5,33,2058657
5,34,2108280
5,35,2074198
5,36,2070372
5,37,2099952
5,38,2099904
5,39,2101297
5,40,2081396
5,41,2035911
5,42,2074880
5,43,1919925
5,44,1931577
5,45,1973944
5,46,1895775
5,47,1921234
5,48,1975370
5,49,2106632
5,50,2176498
5,51,2266790
5,52,2181730
5,53,2377807
5,54,2283925
5,55,2265665
5,56,2351986
5,57,2339934
5,58,2381519
5,59,2392943
5,60,2412642
5,61,2530658
5,62,2461638
5,63,2604623
5,64,2531446
5,65,2478259
5,66,2604008
5,67,2658485
5,68,2708380
5,69,2690847
5,70,3042342
5,71,2844006
5,72,2977494
5,73,3089858
5,74,3124536
5,75,3178044
5,76,3443429
5,77,3304062
5,78,3355969
5,79,3371755
5,80,3537057
5,81,3542986
5,82,3727553
5,83,3858134
5,84,4523247
5,85,4448742
5,86,5298949
5,87,5465979
5,88,5767993
5,89,5779977
5,90,5822292
5,91,5695519
5,92,5664633
5,93,5908539
5,94,6332308
5,95,6958321
5,96,7363270
5,97,7854396
5,98,7713178
5,99,8175956
5,100,8019754
6,0,1576214
6,1,1649288
6,2,1661551
6,3,1557963
6,4,1586531
6,5,1553783
6,6,1600846
6,7,1504538
6,8,1633669
6,9,1582853
6,10,1570163
6,11,1585997
6,12,1502870
6,13,1578562
6,14,1640486
6,15,1542825
6,16,1637381
6,17,1583142
6,18,1650258
6,19,1641981
6,20,1628895
6,21,1602024
6,22,1568935
6,23,1564846
6,24,1556114
6,25,1556585
6,26,1588856
6,27,1537546
6,28,1534290
6,29,1599062
6,30,1617563
6,31,1629314
6,32,1711195
6,33,1595739
6,34,1651665
6,35,1790747
6,36,1742138
6,37,1665406
6,38,1717312
6,39,1740370
6,40,1790381
6,41,1628304
6,42,1645499
6,43,1724404
6,44,1672850
6,45,1721023
6,46,1742328
6,47,1752409
6,48,1795911
6,49,1757895
6,50,1827179
6,51,1759335
6,52,1692018
6,53,1817227
6,54,1758876
6,55,1816118
6,56,1984993
6,57,1867504
6,58,1869827
6,59,1815524
6,60,1854123
6,61,1939237
6,62,2040422
6,63,1969189
6,64,1981299
6,65,2073918
6,66,2030530
6,67,2158429
6,68,2219297
6,69,2205608
6,70,2251332
6,71,2341143
6,72,2222895
6,73,2346511
6,74,2501907
6,75,2480834
6,76,2641255
6,77,2695384
6,78,2615417
6,79,2869729
6,80,2887436
6,81,3042486
6,82,3379532
6,83,3754163
6,84,3746349
6,85,4112458
6,86,4114566
6,87,4513751
6,88,4718791
6,89,4958288
6,90,5035210
6,91,5518803
6,92,5977000
6,93,5672665
6,94,6257501
6,95,6679414
6,96,6848095
6,97,7367598
6,98,7450161
6,99,7392284
6,100,7735603
7,0,1322313
7,1,1319045
7,2,1301030
7,3,1319208
7,4,1319110
7,5,1328536
7,6,1347034
7,7,1350603
7,8,1344124
7,9,1374041
7,10,1399990
7,11,1323560
7,12,1340102
7,13,1381091
7,14,1346621
7,15,1377361
7,16,1395993
7,17,1377615
7,18,1381535
7,19,1382247
7,20,1426952
7,21,1381530
7,22,1402241
7,23,1454238
7,24,1411327
7,25,1396632
7,26,1412416
7,27,1395401
7,28,1423099
7,29,1415818
7,30,1414789
7,31,1406118
7,32,1398467
7,33,1448375
7,34,1452918
7,35,1447736
7,36,1428035
7,37,1468134
7,38,1473475
7,39,1404791
7,40,1486699
7,41,1492738
7,42,1483417
7,43,1477644
7,44,1487618
7,45,1518227
7,46,1501129
7,47,1524502
7,48,1527992
7,49,1528330
7,50,1558379
7,51,1541386
7,52,1636775
7,53,1601636
7,54,1567726
7,55,1669077
7,56,1618842
7,57,1596275
7,58,1579952
7,59,1596727
7,60,1654267
7,61,1633229
7,62,1653949
7,63,1691204
7,64,1670536
7,65,1746780
7,66,1767026
7,67,1815566
7,68,1847628
7,69,1735776
7,70,1849521
7,71,1939849
7,72,2059846
7,73,2038573
7,74,2029073
7,75,2175883
7,76,2245794
7,77,2082837
7,78,2251540
7,79,2400359
7,80,2735996
7,81,2764596
7,82,3009883
7,83,3009377
7,84,3074301
7,85,3219846
7,86,3496093
7,87,3763575
7,88,4118728
7,89,4476886
7,90,4706133
7,91,4835961
7,92,5463946
7,93,5869899
7,94,5800835
7,95,6419896
7,96,6495588
7,97,6710316
7,98,7164271
7,99,7619029
7,100,7994423
8,0,1171447
8,1,1197311
8,2,1194951
8,3,1183438
8,4,1202657
8,5,1196156
8,6,1205607
8,7,1212150
8,8,1219506
8,9,1232172
8,10,1225139
8,11,1222720
8,12,1242357
8,13,1255921
8,14,1235538
8,15,1284186
8,16,1247046
8,17,1233180
8,18,1234144
8,19,1254725
8,20,1263432
8,21,1247335
8,22,1277681
8,23,1274631
8,24,1282204
8,25,1292006
8,26,1273283
8,27,1298571
8,28,1275536
8,29,1267665
8,30,1279366
8,31,1293389
8,32,1290442
8,33,1309276
8,34,1288853
8,35,1314823
8,36,1291182
8,37,1308616
8,38,1316049
8,39,1315031
8,40,1355193
8,41,1358079
8,42,1340806
8,43,1347446
8,44,1372529
8,45,1422538
8,46,1386942
8,47,1366215
8,48,1401869
8,49,1437985
8,50,1392340
8,51,1466367
8,52,1470522
8,53,1499192
8,54,1456334
8,55,1460882
8,56,1454570
8,57,1447695
8,58,1466539
8,59,1452262
8,60,1533935
8,61,1530695
8,62,1532701
8,63,1560486
8,64,1585970
8,65,1563217
8,66,1677937
8,67,1632467
8,68,1689189
8,69,1708958
8,70,1673738
8,71,1773115
8,72,1792449
8,73,1884223
8,74,1973901
8,75,1827410
8,76,2097148
8,77,2058427
8,78,2203319
8,79,2167883
8,80,2392552
8,81,2483887
8,82,2673229
8,83,2833672
8,84,3071291
8,85,3156231
8,86,3493457
8,87,3832821
8,88,4107090
8,89,4578579
8,90,4976973
8,91,5544102
8,92,5287963
8,93,5998018
8,94,6587258
8,95,7024993
8,96,7236510
8,97,7583874
8,98,8129790
8,99,8332993
8,100,8480426
