table_size,lru
10,0.3101500508688019
11,0.31676075498369993
12,0.32280551343619157
13,0.3287391615939739
14,0.3348475396506943
15,0.3411406833749071
16,0.3476273740640974
17,0.3541497275736863
18,0.3608186749882304
19,0.3674401317122939
20,0.37403829111649894
21,0.3805674546118926
22,0.3869742175729533
23,0.39326449393472196
24,0.39934455678730674
25,0.40530598251876643
26,0.41108550994517784
27,0.41684532425478593
28,0.4224110539689583
29,0.4279950631187118
30,0.433451833060008
31,0.43877240328520883
32,0.44389673839314087
33,0.4489355902582078
34,0.45384397713206764
35,0.45851957001749627
36,0.4631385324946537
37,0.4675893958485251
38,0.4719393638863944
39,0.4761714116437496
40,0.48024754656820623
41,0.4841765499572494
42,0.487921683729564
43,0.49154531301830934
44,0.4950940324632023
45,0.49843934838471615
46,0.5016977473821429
47,0.5048785483834258
48,0.5078890997395897
49,0.5108139886427358
50,0.5136290217222418
51,0.5163083927161108
52,0.5188874060244361
53,0.5214040541996018
54,0.5238579788213026
55,0.5262446996357195
56,0.5286093776013474
57,0.5308491460905036
58,0.5330086284312248
59,0.5351147061464244
60,0.5372053717884868
61,0.5392687974873303
62,0.5412933345830254
63,0.543198159296679
64,0.5451044176915546
65,0.5469943679625293
66,0.5488040320850689
67,0.5505423705668112
68,0.5522645801348055
69,0.5539801589271477
70,0.5556328349558722
71,0.5573269085298835
72,0.5589645309057765
73,0.5606161316735845
74,0.5621951523295259
75,0.5637510548757617
76,0.5652974592839013
77,0.5668038998279762
78,0.5682822043780682
79,0.5697927667556565
80,0.5712872002194966
81,0.5727466877035491
82,0.5741891502230898
83,0.5756054480603279
84,0.5770025704112209
85,0.578372452818895
86,0.5797547007271093
87,0.5811059452788967
88,0.5824636413961833
89,0.5838055670200273
90,0.5851041237869041
91,0.5864266947142504
92,0.5877001620597412
93,0.588969865992024
94,0.5902325807283495
95,0.5915105283276593
96,0.5927558596791672
97,0.593988108689524
98,0.5951816483068852
99,0.5963775176562323
100,0.5975638888674832
101,0.5987205111933765
102,0.5998529401486477
103,0.6009885948866684
104,0.6021134970155237
105,0.6032448507098783
106,0.6043482476204027
107,0.6054471642771083
108,0.6065702743044361
109,0.6076471481123525
110,0.6087044880136185
111,0.6097679210600783
112,0.6108245441207332
113,0.6118713106229865
114,0.6129135968714209
115,0.6139449513005371
116,0.6149804275631666
117,0.6159945778176182
118,0.6170200183116934
119,0.6180468924869907
120,0.6190470643495272
121,0.6200452649003834
122,0.6210176591892426
123,0.6219879029562686
124,0.6229389712369497
125,0.623890577148089
126,0.6248683477415309
127,0.6258092010435049
128,0.6267333878012724
129,0.6277038107784513
130,0.6286369580438567
131,0.62957386872247
132,0.6305184854376518
133,0.631447331659391
134,0.6323518053003553
135,0.633290687290649
136,0.6342148740484165
137,0.6351302795086989
138,0.6360265094826364
139,0.6369037431803817
